Date,STRATEGY,SPY,QQQ
2020-01-02,1.0,1.0,1.0
2020-01-03,1.0,0.9924275558926203,0.9908400049808457
2020-01-06,1.0,0.9962140863208055,0.9972242772280129
2020-01-07,1.0,0.9934130179882039,0.9970853995297496
2020-01-08,1.0,0.9987076024900625,1.0045798143902493
2020-01-09,1.0,1.0054790952415658,1.013092226218293
2020-01-10,1.0,1.0025856173518628,1.01050123422427
2020-01-13,1.0,1.009480871067493,1.022159269866616
2020-01-14,1.0,1.0079419795442863,1.0181346732784953
2020-01-15,1.0,1.010219736358309,1.0185509401346295
2020-01-16,1.0,1.018622735773117,1.028312445522
2020-01-17,1.0,1.0217933395426253,1.0334012583960213
2020-01-21,1.0,1.019792503025411,1.032938552478337
2020-01-22,1.0,1.019915647240547,1.035667762941043
2020-01-23,1.0,1.0210857228673362,1.038998923258352
2020-01-24,1.0,1.012004916311788,1.0302550485998696
2020-01-27,1.0,0.9957830815678297,1.008974751507072
2020-01-28,1.0,1.0062180633238806,1.0244723599686498
2020-01-29,1.0,1.0053868912674617,1.0261378668795733
2020-01-30,1.0,1.0086495962195758,1.0297925624253788
2020-01-31,1.0,0.9903348237757974,1.0134619807651457
2020-02-03,1.0,0.9976910973619492,1.0287749316964905
2020-02-04,1.0,1.0128976604757751,1.0523220995729654
2020-02-05,1.0,1.0245945106667258,1.0557919910930758
2020-02-06,1.0,1.0280421375245408,1.0649055470506799
2020-02-07,1.0,1.0225628366999782,1.0603257326604307
2020-02-10,1.0,1.0301967501234275,1.0731400569867346
2020-02-11,1.0,1.0319818272854075,1.0733251540033546
2020-02-12,1.0,1.0386309981537623,1.0837806083956547
2020-02-13,1.0,1.0375230085920333,1.0823926371380643
2020-02-14,1.0,1.0391851471218743,1.0854921148817411
2020-02-18,1.0,1.0365071202129101,1.0859084549856064
2020-02-19,1.0,1.0414628011443985,1.0963175435640875
2020-02-20,1.0,1.0371844133961583,1.0861399910637761
2020-02-21,1.0,1.0265030404183368,1.0652758143316503
2020-02-24,1.0,0.9924585989251505,1.0241948975630473
2020-02-25,1.0,0.9623849930168596,0.9963451579587316
2020-02-26,1.0,0.958844853810445,1.0014802633988404
2020-02-27,1.0,0.9157815890352721,0.9513323029819144
2020-02-28,1.0,0.9119341032485095,0.9520724713052005
2020-03-02,1.0,0.9514268025337282,1.0012028009932383
2020-03-03,1.0,0.9241851024075722,0.9690968554749008
2020-03-04,1.0,0.963031551542073,1.0095299693091997
2020-03-05,1.0,0.9310185784326374,0.9788582143668091
2020-03-06,1.0,0.9156278129535996,0.9623426821854184
2020-03-09,1.0,0.8441221919546945,0.8954940925704818
2020-03-10,1.0,0.8878016403672905,0.9442540084820864
2020-03-11,1.0,0.8445224620496358,0.9031273118815136
2020-03-12,1.0,0.763720943284688,0.8203181881441215
2020-03-13,1.0,0.8290085523554621,0.8898037693282443
2020-03-16,1.0,0.7382954147487916,0.7832160881316694
