Date,gross_return,cost,net_return,selected_count
2020-06-19,0.0031892815685647573,0.0,0.0031892815685647573,3
2020-06-22,0.012200705664752027,0.0003333333333333333,0.011867372331418694,3
2020-06-23,0.0077366251700375175,0.0003333333333333333,0.0074032918367041844,3
2020-06-24,-0.024803980417901918,0.0003333333333333333,-0.025137313751235252,3
2020-06-25,0.01607085003411446,0.0,0.01607085003411446,3
2020-06-26,-0.02947634119369872,0.0,-0.02947634119369872,3
2020-06-29,0.007774594128519811,0.0,0.007774594128519811,3
2020-06-30,0.02332549956027289,0.0,0.02332549956027289,3
2020-07-01,0.014985808074794882,0.0,0.014985808074794882,3
2020-07-02,0.004220158925973308,0.0,0.004220158925973308,3
2020-07-06,0.0360184061140684,0.0,0.0360184061140684,3
2020-07-07,-0.006139615709518265,0.0003333333333333333,-0.006472949042851598,3
2020-07-08,0.014871354558891919,0.0,0.014871354558891919,3
2020-07-09,0.027474034217139266,0.0,0.027474034217139266,3
2020-07-10,0.03682497460691828,0.0,0.03682497460691828,3
2020-07-13,-0.03385235944289777,0.0,-0.03385235944289777,3
2020-07-14,0.013016290162944108,0.0,0.013016290162944108,3
2020-07-15,-0.00651155037535822,0.0,-0.00651155037535822,3
2020-07-16,-0.01379064204583898,0.0,-0.01379064204583898,3
2020-07-17,-0.001974855882043306,0.0003333333333333333,-0.0023081892153766397,3
2020-07-20,0.04870290339067014,0.0003333333333333333,0.04836957005733681,3
2020-07-21,-0.02702783338252346,0.0003333333333333333,-0.027361166715856793,3
2020-07-22,0.009589039328708063,0.0003333333333333333,0.00925570599537473,3
2020-07-23,-0.029426265413956355,0.0003333333333333333,-0.02975959874728969,3
2020-07-24,-0.023210289470340317,0.0,-0.023210289470340317,3
2020-07-27,0.043773146000489316,0.0003333333333333333,0.043439812667155984,3
2020-07-28,-0.02355225575483292,0.0003333333333333333,-0.023885589088166254,3
2020-07-29,0.01011541404403915,0.0003333333333333333,0.009782080710705817,3
2020-07-30,0.001877220565209596,0.0003333333333333333,0.0015438872318762626,3
2020-07-31,0.004393991474833807,0.0,0.004393991474833807,3
2020-08-03,0.014031863959747906,0.0003333333333333333,0.013698530626414573,3
2020-08-04,0.011399246077558933,0.0003333333333333333,0.0110659127442256,3
2020-08-05,0.0056901059045502125,0.0,0.0056901059045502125,3
2020-08-06,0.004876692375734182,0.0,0.004876692375734182,3
2020-08-07,-0.007511969978654738,0.0,-0.007511969978654738,3
2020-08-10,-0.0028481158568040375,0.0003333333333333333,-0.003181449190137371,3
2020-08-11,-0.012812868792881238,0.0,-0.012812868792881238,3
2020-08-12,0.027201011529312348,0.0,0.027201011529312348,3
2020-08-13,-0.0006617940392267632,0.0003333333333333333,-0.0009951273725600964,3
2020-08-14,0.006096120824531814,0.0,0.006096120824531814,3
2020-08-17,0.0426971218595679,0.0,0.0426971218595679,3
2020-08-18,0.012125638937788544,0.0,0.012125638937788544,3
2020-08-19,-0.0044717088913353385,0.0003333333333333333,-0.0048050422246686715,3
2020-08-20,0.021444069816107802,0.0003333333333333333,0.021110736482774468,3
2020-08-21,0.010919017169997842,0.0,0.010919017169997842,3
2020-08-24,0.002622138651821519,0.0,0.002622138651821519,3
2020-08-25,0.0037796383749641262,0.0,0.0037796383749641262,3
2020-08-26,0.028021714594437398,0.0,0.028021714594437398,3
2020-08-27,0.012181855146806031,0.0,0.012181855146806031,3
2020-08-28,0.0005630457882947653,0.0,0.0005630457882947653,3
2020-08-31,0.03971441730889891,0.0,0.03971441730889891,3
2020-09-01,-0.008939242160769986,0.0,-0.008939242160769986,3
2020-09-02,-0.00998564162714059,0.0,-0.00998564162714059,3
2020-09-03,-0.052130122485364784,0.0003333333333333333,-0.052463455818698115,3
2020-09-04,-0.01121949015599255,0.0006666666666666666,-0.011886156822659217,3
2020-09-08,-0.09701277485554993,0.0,-0.09701277485554993,3
2020-09-09,0.05599564095753336,0.0003333333333333333,0.055662307624200026,3
2020-09-10,-0.026229167426483325,0.0003333333333333333,-0.02656250075981666,3
2020-09-11,0.001043511202526437,0.0003333333333333333,0.0007101778691931038,3
2020-09-14,0.06487475818763425,0.0003333333333333333,0.06454142485430091,3
2020-09-15,0.026886360906058115,0.0,0.026886360906058115,3
2020-09-16,-0.004400124154270713,0.0,-0.004400124154270713,3
2020-09-17,-0.017845044568559655,0.0,-0.017845044568559655,3
2020-09-18,0.006376068079978814,0.0,0.006376068079978814,3
2020-09-21,-0.010421824127836357,0.0003333333333333333,-0.01075515746116969,3
2020-09-22,-0.006081305704846626,0.0003333333333333334,-0.006414639038179959,2
2020-09-23,-0.06553339784091078,0.0,-0.06553339784091078,2
2020-09-24,0.011089571551487154,0.0005,0.010589571551487154,1
2020-09-25,0.012141270423829953,0.0,0.012141270423829953,1
2020-09-28,0.029428189669352678,0.0005,0.028928189669352677,2
2020-09-29,0.0031786808483597606,0.0005,0.0026786808483597606,1
2020-09-30,0.00016470942845003833,0.0,0.00016470942845003833,1
2020-10-01,0.011747965026654317,0.0,0.011747965026654317,1
2020-10-02,-0.03193153797152892,0.001,-0.032931537971528924,1
2020-10-05,0.025512531789757986,0.0006666666666666666,0.02484586512309132,3
2020-10-06,-0.008795516883924881,0.0003333333333333333,-0.009128850217258214,3
2020-10-07,0.0233552772139054,0.0,0.0233552772139054,3
2020-10-08,-0.0031960014923275346,0.0,-0.0031960014923275346,3
2020-10-09,-0.008646131475959606,0.0,-0.008646131475959606,3
2020-10-12,0.02236806342751207,0.0,0.02236806342751207,3
2020-10-13,0.007714697688481209,0.0,0.007714697688481209,3
2020-10-14,0.003171581858151213,0.0003333333333333333,0.0028382485248178795,3
2020-10-15,-0.00855731232619757,0.0003333333333333333,-0.008890645659530903,3
2020-10-16,-0.010460851756727877,0.0,-0.010460851756727877,3
2020-10-19,-0.018963393343053636,0.0003333333333333333,-0.01929672667638697,3
2020-10-20,0.002942466077254568,0.0,0.002942466077254568,3
2020-10-21,-0.016962802694588792,0.0,-0.016962802694588792,3
2020-10-22,-0.0019273314673359612,0.0003333333333333333,-0.0022606648006692947,3
2020-10-23,0.01234043926564025,0.0,0.01234043926564025,3
2020-10-26,-0.010192019768478684,0.0,-0.010192019768478684,3
2020-10-27,-0.003609248792934894,0.0003333333333333333,-0.003942582126268228,3
2020-10-28,-0.040167386834532914,0.0003333333333333333,-0.040500720167866246,3
2020-10-29,0.01654053713272533,0.0009999999999999998,0.015540537132725333,2
2020-10-30,-0.05877752391486496,0.0005,-0.05927752391486496,1
