Date,SPY,QQQ,XLK,XLF,XLE,XLI,XLY,SMH,SOXX,NVDA,AMD,MSFT,AAPL,AMZN,META,AVGO,TSLA,COIN,WGMI
2020-01-02,296.8881530761719,208.31756591796875,44.294185638427734,27.64297103881836,23.35608673095703,75.15055084228516,60.15518569946289,69.70355224609375,80.96963500976562,5.970754146575928,49.099998474121094,152.15838623046875,72.40052032470703,94.90049743652344,208.1465606689453,27.677490234375,28.68400001525879,,
2020-01-03,294.6399841308594,206.4093780517578,43.796173095703125,27.349464416503906,23.28668975830078,75.00568389892578,59.643253326416016,68.56175231933594,79.45947265625,5.875185966491699,48.599998474121094,150.26373291015625,71.69664764404297,93.74849700927734,207.0452117919922,26.97351837158203,29.534000396728516,,
2020-01-06,295.76416015625,207.7393341064453,43.9005126953125,27.331676483154297,23.4678955078125,75.0328369140625,59.809165954589844,67.82943725585938,78.6317367553711,5.8998260498046875,48.38999938964844,150.6521453857422,72.2679443359375,95.14399719238281,210.94461059570312,26.93316650390625,30.1026668548584,,
2020-01-07,294.93255615234375,207.7104034423828,43.88154983520508,27.15379524230957,23.406206130981445,74.87895965576172,59.7143669128418,68.96162414550781,80.0787124633789,5.971251487731934,48.25,149.27854919433594,71.92803955078125,95.34300231933594,211.4010009765625,26.8404483795166,31.270666122436523,,
2020-01-08,296.50445556640625,209.27162170410156,44.35110092163086,27.331676483154297,23.020662307739258,75.1324234008789,59.89448547363281,69.0772476196289,80.00605010986328,5.982451438903809,47.83000183105469,151.6562957763672,73.0851058959961,94.59850311279297,213.54420471191406,26.505630493164062,32.80933380126953,,
2020-01-09,298.51483154296875,211.04490661621094,44.85384750366211,27.50066375732422,23.190303802490234,75.44928741455078,60.212066650390625,69.4722900390625,80.51151275634766,6.048153877258301,48.970001220703125,153.5509796142578,74.63750457763672,95.05249786376953,216.60023498535156,26.292722702026367,32.089332580566406,,
2020-01-10,297.6557922363281,210.50515747070312,44.749507904052734,27.296098709106445,23.059221267700195,74.9151611328125,59.88500213623047,68.89417266845703,80.04395294189453,6.080508232116699,48.16999816894531,152.84046936035156,74.80623626708984,94.15799713134766,216.36209106445312,25.688325881958008,31.876667022705078,,
2020-01-13,299.7029113769531,212.93373107910156,45.309173583984375,27.482877731323242,23.066930770874023,75.53076171875,60.07460403442383,69.85772705078125,80.97909545898438,6.271146297454834,48.75,154.6782684326172,76.40441131591797,94.56500244140625,220.18214416503906,25.856595993041992,34.990665435791016,,
2020-01-14,299.24603271484375,212.0953369140625,45.095733642578125,27.42951202392578,23.070785522460938,75.53983306884766,60.05564880371094,70.00225067138672,81.156005859375,6.154175281524658,48.209999084472656,153.58889770507812,75.37271881103516,93.47200012207031,217.3543243408203,26.45755386352539,35.861331939697266,,
2020-01-15,299.9222717285156,212.1820526123047,45.147911071777344,27.278308868408203,22.90114402770996,75.65753936767578,59.91818618774414,68.96643829345703,80.29668426513672,6.111617088317871,48.54999923706055,154.5835418701172,75.04969024658203,93.10099792480469,219.42799377441406,26.024858474731445,34.56666564941406,,
2020-01-16,302.4170227050781,214.21554565429688,45.7550048828125,27.518457412719727,22.939701080322266,76.40892791748047,60.45380783081055,70.07935333251953,81.56674194335938,6.195240497589111,49.77000045776367,157.41604614257812,75.98980712890625,93.89700317382812,220.043212890625,26.360538482666016,34.232666015625,,
2020-01-17,303.35833740234375,215.275634765625,46.063297271728516,27.5985050201416,22.793197631835938,76.41800689697266,60.66710662841797,70.368408203125,82.17964172363281,6.20395040512085,50.93000030517578,158.29701232910156,76.83109283447266,93.23600006103516,220.41033935546875,26.509918212890625,34.03333282470703,,
2020-01-21,302.7643127441406,215.1792449951172,46.04432678222656,27.36726188659668,22.384521484375,75.5760269165039,60.48224639892578,70.42620849609375,82.13224792480469,6.170599937438965,51.04999923706055,157.7286376953125,76.3104248046875,94.5999984741211,219.71578979492188,26.44810676574707,36.47999954223633,,
2020-01-22,302.8008728027344,215.74778747558594,46.2103271484375,27.44730567932129,22.16861915588379,75.17770385742188,60.45380783081055,71.00435638427734,82.68511199951172,6.224606513977051,51.43000030517578,156.97079467773438,76.58280181884766,94.37300109863281,219.5967254638672,26.8687744140625,37.97066879272461,,
